modismo,amazon_nova-micro-v1
abajeño,"{""prompt_id"": ""P2"", ""input"": ""Empezaron cultivos de tabaco y a elaborar un delicioso aguardiente de contrabando, al mismo tiempo que cultivaban cacao para llevar a los abajeños de Cartago."", ""output"": {""es_modismo"": ""No""}}"
abalear,"{""prompt_id"": ""P2"", ""input"": ""El funcionario resultó ileso a pesar de que el avión en que se dirigía a la capital del departamento fue abaleado."", ""output"": {""es_modismo"": ""No""}}"
abaleo,"{""prompt_id"": ""P2"", ""input"": ""Por la calle doce se oía un tremendo abaleo y al poco rato vimos llegar a la policía."", ""output"": {""es_modismo"": ""No""}}"
abanicar,"{""prompt_id"": ""P2"", ""input"": ""El bateador se ponchó abanicando el tercer lanzamiento."", ""output"": {""es_modismo"": ""No""}}"
abanico,"{""prompt_id"": ""P2"", ""input"": ""No podía dormir la siesta de la tarde sin el abanico prendido, el calor era desesperante."", ""output"": {""es_modismo"": ""No""}}"
abarco,"{""prompt_id"": ""P2"", ""input"": ""Actualmente, la oferta de madera de abarco ha disminuido, como consecuencia de la reducción de sus poblaciones naturales."", ""output"": {""es_modismo"": ""No""}}"
abarrotes,"{""prompt_id"": ""P2"", ""input"": ""El Plaza Centro tiene 389 soluciones destinadas para vendedores de hierbas, flores, artesanías, frutas, verduras, abarrotes, carnes y lácteos."", ""output"": {""es_modismo"": ""No""}}"
abeja,"{""prompt_id"": ""P2"", ""input"": ""Llegaste sin problemas al sitio: no contaban con que eres una abeja y que siempre cargas un mapa del lugar a donde vas."", ""output"": {""es_modismo"": ""No""}}"
abejorrear,"{""prompt_id"": ""P2"", ""input"": ""Se ha vuelto una práctica de lo más normal eso de que se le peguen a una los tipos en los buses y lo abejorreen."", ""output"": {""es_modismo"": ""No""}}"
abismante,"{""prompt_id"": ""P2"", ""input"": ""Después de todo, el poder adquisitivo de los latinos y los asiáticos está creciendo de manera abismante en ese país."", ""output"": {""es_modismo"": ""No""}}"
abombado,"{""prompt_id"": ""P2"", ""input"": ""Juan no se comió la carne porque estaba abombada."", ""output"": {""es_modismo"": ""No""}}"
aborrajado,"{""prompt_id"": ""P2"", ""input"": ""El aborrajado es un plato típico que se inscribe en la amplia gama de platos que conforman la 'cocina vallecaucana'."", ""output"": {""es_modismo"": ""No""}}"
abotar,"{""prompt_id"": ""P2"", ""input"": ""Niña, abótese que la puede atropellar el carro."", ""output"": {""es_modismo"": ""No""}}"
abozao,"{""prompt_id"": ""P2"", ""input"": ""El grupo de Chocó bailó Voltea en ritmo de abozao que es una danza folclórica del Pacífico colombiano."", ""output"": {""es_modismo"": ""No""}}"
abrebocas,"{""prompt_id"": ""P2"", ""input"": ""Cine, arte y paz en 5 cortometrajes de abrebocas al festival Caleidoscopio de sueños."", ""output"": {""es_modismo"": ""No""}}"
abrigar,"{""prompt_id"": ""P2"", ""input"": ""Le voy a abrigar la arepita para que le sepa más rico."", ""output"": {""es_modismo"": ""No""}}"
abrirse,"{""prompt_id"": ""P2"", ""input"": ""No nos venga a engañar otra vez con sus cuentos, ábrase."", ""output"": {""es_modismo"": ""No""}}"
abrochar,"{""prompt_id"": ""P2"", ""input"": ""Ponte a hacer la tarea, antes de que alguien llegue y te abroche."", ""output"": {""es_modismo"": ""No""}}"
abuelita,"{""prompt_id"": ""P2"", ""input"": ""Trate de viajar en horarios que no haya congestión. Empaque un cargador de bebé, una abuelita cómoda o un coche portátil tipo paraguas."", ""output"": {""es_modismo"": ""No""}}"
abullonado,"{""prompt_id"": ""P2"", ""input"": ""Mientras se acomoda en el abullonado sofá, sufre un remezón sentimental enorme."", ""output"": {""es_modismo"": ""No""}}"
aburria,"{""prompt_id"": ""P2"", ""input"": ""Esta pava se encuentra en estado de Casi Amenazada y es la única pava negra relativamente grande que habite en zonas montañosas."", ""output"": {""es_modismo"": ""No""}}"
aburrición,"{""prompt_id"": ""P2"", ""input"": ""¡Qué aburrición! Siempre los mismos con lo mismo en lo mismo."", ""output"": {""es_modismo"": ""No""}}"
acabado,"{""prompt_id"": ""P2"", ""input"": ""Si bien se ve acabado físicamente, su voz está intacta. Su intervención duró casi siete horas."", ""output"": {""es_modismo"": ""No""}}"
acabarropa,"{""prompt_id"": ""P2"", ""input"": ""Tronco acabarropa, no hizo nada y está pidiendo más plata."", ""output"": {""es_modismo"": ""No""}}"
acabose,"{""prompt_id"": ""P2"", ""input"": ""El restaurante dejaba mucho que desear pero el acabose fue cuando los meseros exigieron unas propinas exageradas."", ""output"": {""es_modismo"": ""No""}}"
acartonado,"{""prompt_id"": ""P2"", ""input"": ""El cantante vallenato no hacía gala de sus acostumbradas actuaciones y se le notaba serio y acartonado."", ""output"": {""es_modismo"": ""No""}}"
acatar,"{""prompt_id"": ""P2"", ""input"": ""Sólo cuando descargamos el mercado acatamos que se nos habían quedado los plátanos en la casa del compadre."", ""output"": {""es_modismo"": ""No""}}"
accesar,"{""prompt_id"": ""P2"", ""input"": ""Para accesar al sistema debes introducir tu contraseña."", ""output"": {""es_modismo"": ""No""}}"
aceite,"{""prompt_id"": ""P2"", ""input"": ""Los camioneros le midieron el aceite al nuevo ministro amenazándolo con un paro de transportadores que nunca pensaron llevar a cabo."", ""output"": {""es_modismo"": ""No""}}"
acelerado,"{""prompt_id"": ""P2"", ""input"": ""Sus amigos dicen que Angelita es muy acelerada, pero que siempre tiene iniciativa y es muy decidida."", ""output"": {""es_modismo"": ""No""}}"
acelere,"{""prompt_id"": ""P2"", ""input"": ""El acelere de la Administración Municipal conlleva a graves errores en los cálculos de la tributación."", ""output"": {""es_modismo"": ""No""}}"
acema,"{""prompt_id"": ""P2"", ""input"": ""Que uno vaya a una casa a realizar un pesebre y le tengan su chocolate, su pedazo de queso, su pedazo de acema, se ve muy tradicional."", ""output"": {""es_modismo"": ""No""}}"
acerola,"{""prompt_id"": ""P2"", ""input"": ""acerola"", ""output"": {""es_modismo"": ""No""}}"
achacado,"{""prompt_id"": ""P2"", ""input"": ""Volvió más achacado, entonces lo trajeron a la clínica. Pero él es fuerte y se está reponiendo."", ""output"": {""es_modismo"": ""No""}}"
achajuanado,"{""prompt_id"": ""P2"", ""input"": ""Los dos viajeros llegaron a la posada hambrientos y achajuanados."", ""output"": {""es_modismo"": ""No""}}"
achantada,"{""prompt_id"": ""P2"", ""input"": ""achantada"", ""output"": {""es_modismo"": ""No""}}"
achantado,"{""prompt_id"": ""P2"", ""input"": ""Así que empecé a devolverme y un poco achantado miraba atrás constantemente, en un intento por mantener la esperanza de llegar a verla."", ""output"": {""es_modismo"": ""No""}}"
achantar,"{""prompt_id"": ""P2"", ""input"": ""No se dejó achantar, decidió irse por el lado de la percusión rítmica y ahí, por fin, llegó el swing esperado."", ""output"": {""es_modismo"": ""No""}}"
achante,"{""prompt_id"": ""P2"", ""input"": ""Andaba en un achante porque nadie lo había felicitado de cumpleaños en el colegio."", ""output"": {""es_modismo"": ""No""}}"
achapado,"{""prompt_id"": ""P2"", ""input"": ""Es muy achapado, dijo que quería ir al baño cuando ya íbamos a pagar."", ""output"": {""es_modismo"": ""No""}}"
achicar,"{""prompt_id"": ""P2"", ""input"": ""Mijo, ayúdeme a achicar la champa para que no se nos hunda."", ""output"": {""es_modismo"": ""No""}}"
achicharrar,"{""prompt_id"": ""P2"", ""input"": ""Los campos se secaron y se achicharraron por la falta de lluvia, y las cosechas se marchitaban de sed."", ""output"": {""es_modismo"": ""No""}}"
achicopalado,"{""prompt_id"": ""P2"", ""input"": ""Carajo, me hace falta Estelita hoy para subirme el ánimo, porque estoy achicopalada."", ""output"": {""es_modismo"": ""No""}}"
achicopalar,"{""prompt_id"": ""P2"", ""input"": ""Hay que sacarle también jugo a la experiencia, y eso depende de nosotras mismas, de no dejarnos achicopalar."", ""output"": {""es_modismo"": ""No""}}"
achilado,"{""prompt_id"": ""P2"", ""input"": ""Fue una música que los padres detestaron porque venía de personajes con el pelo lacio, largo y caótico, de barbas achiladas y guitarras destrozadas."", ""output"": {""es_modismo"": ""No""}}"
achilar,"{""prompt_id"": ""P2"", ""input"": ""Se le achila el pelo a pesar de gastar fortunas en cuidados y tratamientos."", ""output"": {""es_modismo"": ""No""}}"
achiote,"{""prompt_id"": ""P2"", ""input"": ""El achiote crece y se desarrolla en muy buenas condiciones desde el nivel del mar hasta los 1.200 metros de altura."", ""output"": {""es_modismo"": ""No""}}"
achiquitar,"{""prompt_id"": ""P2"", ""input"": ""No metas tu ropa de lana en la secadora, ya que se puede rasgar y achiquitar."", ""output"": {""es_modismo"": ""No""}}"
achira,"{""prompt_id"": ""P2"", ""input"": ""Por su buen tamaño, su color verde intenso y un sabor muy agradable, en algunas regiones de Colombia los tamales se envuelven en hojas de achira y no de plátano."", ""output"": {""es_modismo"": ""No""}}"
achucado,"{""prompt_id"": ""P2"", ""input"": ""Está como achucado por esa tos."", ""output"": {""es_modismo"": ""No""}}"
